1st Order Form Execution Date,1st Order Form Execution Date (Start Date),Abbreviated Name,Account Manager,Account Manager EMAIL Address,Account Manager Phone Number,Address Line 1,Address Line 1 (e.g. 123 ABC St.),Address Line 2,Address Line 2 (e.g. Apt 202),Billing Address 1,Billing Address 2,Billing City,Billing Contact,Billing Country,Billing Email,Billing First Name,Billing Last Name,Billing Notes,Billing Phone,Billing State,Billing Title,Billing Zip Code,City,Committment Amount,Company,Company Category,Company Description,Company Name,Company Name/DBA,Company Status,Cost Structure,Country,Customer End Category,Customer End Date,Customer Start Date,Description,Dynamic Template,EIN Number,First Order Form Execution Date (Start Date),First Placement Onboard Date,House Account,Industry,Investor,Investor Category,Investor Code,Investor Credit Amount,Investor Credit Remaining Amount,Investor Round,Investor Status,Investor Type,Late Fee Applies,Late Fee Rate (%),Lead Source,Legal Address 1,Legal Address 2,Legal Name,LinkedIn,Mailing Address 1,Mailing Address 2,NAICS Code,No Credit Investor,Non-Taxable,Payment Terms,Phone Manager,Phone Number,Phone Number (e.g. 123-456-7890 Ext 000),Preferred Payment Method,Public/Private,Referral Code,Referral Fee Amount,Referral Partner Category,Related Investor,Sales Representative,Special Contract Terms,State,Status,Stock Ticker,Sub-Industry,Support Email Address,Support Phone Number,Tax ID,Termination Notification Date,Termination Notification Date (End Date),Website,Zip Code,Entity_Type_ID,Entity_Type_Name,Entity_ID,Owned_by_SAM,Owned_by_Display_Name,Own_Datetime,Created_by_SAM,Created_by_Display_Name,Created_Datetime,Modified_by_Sam,Modified_by_Display_Name,Modified_Datetime,Assigned_to_Sam,Assigned_to_Display_Name,Assign_Datetime,Is_Active,CITY_EXD_OBJECT_ID,COMPANY_CATEGORY_EXD_OBJECT_ID,COUNTRY_EXD_OBJECT_ID,INDUSTRY_EXD_OBJECT_ID,STATE_EXD_OBJECT_ID,BILLING_CONTACT_EXD_OBJECT_ID,DYNAMIC_TEMPLATE_EXD_OBJECT_ID,COMPANY_EXD_OBJECT_ID,INVESTOR_CATEGORY_EXD_OBJECT_ID,INVESTOR_EXD_OBJECT_ID,INVESTOR_TYPE_EXD_OBJECT_ID,LEAD_SOURCE_EXD_OBJECT_ID,RELATED_INVESTOR_EXD_OBJECT_ID,SALES_REPRESENTATIVE_EXD_OBJECT_ID,SUB-INDUSTRY_EXD_OBJECT_ID,REFERRAL_CODE_EXD_OBJECT_ID,CUSTOMER_END_CATEGORY_EXD_OBJECT_ID,Own_Datetime Date,Own_Datetime Year,Own_Datetime Month,Own_Datetime Quarter,Own_Datetime YearMonth,Own_Datetime YearQuarter,Own_Datetime DateRange,Own_Datetime WeekNumber,Own_Datetime Week,Own_Datetime MonthSince,Own_Datetime WeekSince,Own_Datetime DaySince,Own_Datetime MonthsSinceCat,Modified_Datetime Date,Modified_Datetime Year,Modified_Datetime Month,Modified_Datetime Quarter,Modified_Datetime YearMonth,Modified_Datetime YearQuarter,Modified_Datetime DateRange,Modified_Datetime WeekNumber,Modified_Datetime Week,Modified_Datetime MonthSince,Modified_Datetime WeekSince,Modified_Datetime DaySince,Modified_Datetime MonthsSinceCat,Assign_Datetime Date,Assign_Datetime Year,Assign_Datetime Month,Assign_Datetime Quarter,Assign_Datetime YearMonth,Assign_Datetime YearQuarter,Assign_Datetime DateRange,Assign_Datetime WeekNumber,Assign_Datetime Week,Assign_Datetime MonthSince,Assign_Datetime WeekSince,Assign_Datetime DaySince,Assign_Datetime MonthsSinceCat,1ST_ORDER_FORM_EXECUTION_DATE Date,1ST_ORDER_FORM_EXECUTION_DATE Year,1ST_ORDER_FORM_EXECUTION_DATE Month,1ST_ORDER_FORM_EXECUTION_DATE Quarter,1ST_ORDER_FORM_EXECUTION_DATE YearMonth,1ST_ORDER_FORM_EXECUTION_DATE YearQuarter,1ST_ORDER_FORM_EXECUTION_DATE DateRange,1ST_ORDER_FORM_EXECUTION_DATE WeekNumber,1ST_ORDER_FORM_EXECUTION_DATE Week,1ST_ORDER_FORM_EXECUTION_DATE MonthSince,1ST_ORDER_FORM_EXECUTION_DATE WeekSince,1ST_ORDER_FORM_EXECUTION_DATE DaySince,1ST_ORDER_FORM_EXECUTION_DATE MonthsSinceCat,CUSTOMER_END_DATE Date,CUSTOMER_END_DATE Year,CUSTOMER_END_DATE Month,CUSTOMER_END_DATE Quarter,CUSTOMER_END_DATE YearMonth,CUSTOMER_END_DATE YearQuarter,CUSTOMER_END_DATE DateRange,CUSTOMER_END_DATE WeekNumber,CUSTOMER_END_DATE Week,CUSTOMER_END_DATE MonthSince,CUSTOMER_END_DATE WeekSince,CUSTOMER_END_DATE DaySince,CUSTOMER_END_DATE MonthsSinceCat,CUSTOMER_START_DATE Date,CUSTOMER_START_DATE Year,CUSTOMER_START_DATE Month,CUSTOMER_START_DATE Quarter,CUSTOMER_START_DATE YearMonth,CUSTOMER_START_DATE YearQuarter,CUSTOMER_START_DATE DateRange,CUSTOMER_START_DATE WeekNumber,CUSTOMER_START_DATE Week,CUSTOMER_START_DATE MonthSince,CUSTOMER_START_DATE WeekSince,CUSTOMER_START_DATE DaySince,CUSTOMER_START_DATE MonthsSinceCat,FIRST_PLACEMENT_ONBOARD_DATE Date,FIRST_PLACEMENT_ONBOARD_DATE Year,FIRST_PLACEMENT_ONBOARD_DATE Month,FIRST_PLACEMENT_ONBOARD_DATE Quarter,FIRST_PLACEMENT_ONBOARD_DATE YearMonth,FIRST_PLACEMENT_ONBOARD_DATE YearQuarter,FIRST_PLACEMENT_ONBOARD_DATE DateRange,FIRST_PLACEMENT_ONBOARD_DATE WeekNumber,FIRST_PLACEMENT_ONBOARD_DATE Week,FIRST_PLACEMENT_ONBOARD_DATE MonthSince,FIRST_PLACEMENT_ONBOARD_DATE WeekSince,FIRST_PLACEMENT_ONBOARD_DATE DaySince,FIRST_PLACEMENT_ONBOARD_DATE MonthsSinceCat,TERMINATION_NOTIFICATION_DATE Date,TERMINATION_NOTIFICATION_DATE Year,TERMINATION_NOTIFICATION_DATE Month,TERMINATION_NOTIFICATION_DATE Quarter,TERMINATION_NOTIFICATION_DATE YearMonth,TERMINATION_NOTIFICATION_DATE YearQuarter,TERMINATION_NOTIFICATION_DATE DateRange,TERMINATION_NOTIFICATION_DATE WeekNumber,TERMINATION_NOTIFICATION_DATE Week,TERMINATION_NOTIFICATION_DATE MonthSince,TERMINATION_NOTIFICATION_DATE WeekSince,TERMINATION_NOTIFICATION_DATE DaySince,TERMINATION_NOTIFICATION_DATE MonthsSinceCat,ENTITY_URL
REF-2782,SKU-5708,Skyler Blake,Emerson Brooks,,,REF-6207,,,LOT-7911,,,,,,chen.vance@sampleco.test,Diego Kim,,,SKU-2072,,Jamie Calder,,,,,Active Customer,Shared the updated proposal for review.,Horizon Labs,Atlas Manufacturing,Active,Other,Germany,,,,Followed up on the open items from last week.,New Logo,,,,N,Technology,,,,,,Other,,,,,Referral,LOT-7663,,Omar Blake,SKU-7119,SKU-1720,REF-2715,,,,Beta,,LOT-2065,REF-2872,,Other,,,,,Fatima Ivanov,,Colorado,N,,TAG-7967,,,,,,SKU-6174,,100001,Company,100155,drew.nguyen@examplecorp.test,Marco Ivanov,2025-04-05 12:51:00,drew.dorsey@acme-fake.test,Mei Ashby,2024-12-21 22:09:00,reese.cohen@examplecorp.test,Fatima Ivanov,2026-01-07 17:26:00,aisha.vance@sampleco.test,,2025-06-07 03:17:00,Y,,100001,100001,100001,,100001,100001,100001,100001,100001,,100001,100001,100001,100001,100001,100001,2026-02-13 12:10:00,2664,2469,Gamma,Beta,Other,REF-9453,942,3626,5694,7638,3481,Alpha,2024-05-12 18:21:00,8940,931,Delta,Delta,Other,Beta,2826,1203,8505,804,8748,Beta,2023-07-05 05:51:00,,,,TAG-6260,Alpha,,,,,,,,2026-06-17,,4795,,,,,,,4334,,2361,,2024-04-30,,,,,,,,,,,,Gamma,2025-10-29,,2974,,SKU-7051,,,,,,,,,2022-12-12,,,,,,,4989,,8726,,,,2023-04-30,,,,,,,1159,,,,9070,,Discussed timeline and next steps with the account.
,,Priya Brooks,Noah Sloan,,,SKU-3819,REF-9132,,REF-3836,,,,,,omar.silva@examplecorp.test,,Reese Sloan,,,,,,LOT-6056,,,Past Customer,Aligned on billing and renewal terms.,Northwind Textiles Ltd,Atlas Manufacturing LLP,Active,Standard,Canada,,,,Noted a concern to revisit at the next sync.,Renewal,,LOT-2637,,Y,Real Estate,REF-7112,,,,,,,,,,Inbound Call,TAG-8211,REF-9752,Sofia Haddad,TAG-5086,LOT-6676,,,,,Beta,,REF-6117,REF-9176,,Delta,,,,,Marco Mercer,,New York,N,,REF-6070,,,,,,SKU-9872,6132,100001,Company,100156,aisha.blake@demomail.test,Drew Patel,2025-10-27 02:48:00,arjun.brooks@sampleco.test,Skyler Brooks,2026-04-20 15:36:00,liam.mensah@demomail.test,Nina Nguyen,2024-08-14 00:15:00,diego.silva@examplecorp.test,Jordan Ford,2023-08-13 20:51:00,Y,100001,100001,,100001,100001,,100001,100001,100001,100001,,100001,,100001,100001,100001,100001,2024-03-06 17:01:00,2553,8982,Standard,Delta,Gamma,SKU-5977,4009,4016,982,134,9526,Gamma,2024-02-04 21:49:00,2088,2257,Gamma,Other,Gamma,Standard,2611,245,5074,2798,8054,Beta,2024-05-24 08:21:00,1491,,,,Beta,,,,,,,,2024-08-09,,,,,,,557,,,5744,,,2023-02-01,,,,,,,,,,,,,2026-07-15,,,,,,,,,,,,,2025-08-03,,,,,,,1938,7362,2591,,,,2025-11-10,2643,,,,REF-2874,,,,,,,,Reviewed performance and gathered feedback.
,,Nina Nguyen,Omar Whitfield,,,,TAG-1371,,TAG-4292,,,,,,casey.mercer@sampleco.test,,,,TAG-6505,,,,LOT-7694,,,Active Customer,Scheduled a check-in for the coming month.,Northwind Solutions Corp,Blue Ridge Capital LLC,Active,Other,Mexico,,,,Scheduled a check-in for the coming month.,Enterprise,,TAG-5183,,Y,Manufacturing,,,,,,,,,,,Event,,TAG-1291,Jordan Rossi,SKU-1903,REF-3090,REF-4634,,,,Standard,,TAG-9217,TAG-3054,,Delta,,,,,Taylor Dorsey,,California,N,,REF-9822,,,,,,REF-5164,1954,100001,Company,100157,marco.blake@acme-fake.test,Riley Reyes,2025-07-08 19:54:00,elena.reyes@demomail.test,Marco Kim,2022-10-09 03:40:00,nina.sloan@sampleco.test,Skyler Mercer,2024-06-07 08:11:00,taylor.patel@examplecorp.test,,2024-04-29 16:43:00,Y,100001,100001,100001,100001,100001,,100001,100001,100001,,,100001,,100001,100001,,100001,2024-04-11 09:10:00,5333,9418,Standard,Gamma,Alpha,LOT-1804,3232,879,5336,576,7323,Beta,2025-09-11 21:21:00,3183,3991,Beta,Gamma,Delta,Delta,1823,311,5975,9136,267,Alpha,2025-03-23 03:26:00,,,,TAG-5133,,,4370,,6298,3840,,Alpha,2022-12-13,,,Beta,,,,,,,,,,2025-08-19,,,,,,,,,,,,,2025-02-05,,,,,,,,,,,,,2023-10-30,,8589,,,Gamma,,2836,,,,,,2025-02-22,,,Delta,,,,,3955,,8099,,,Reviewed performance and gathered feedback.
LOT-5242,,Noah Mensah,Liam Ford,,,LOT-9882,SKU-3370,,REF-7426,,REF-7045,,,,yara.vance@examplecorp.test,,,,SKU-6028,,,"209,506",TAG-8886,,,Past Customer,Scheduled a check-in for the coming month.,Redwood Systems Corp,Brightpath Group LLC,Active,Delta,India,,,,Shared the updated proposal for review.,New Logo,,,LOT-9591,Y,Education,,,,"88,537",,,,,,,Inbound Call,LOT-6256,TAG-4401,Casey Reyes,,,,3166,,,Gamma,,TAG-9534,LOT-9433,,,,,,,Avery Garcia,,Florida,Y,,,,,,,,TAG-1922,3045,100001,Company,100158,aisha.patel@demomail.test,Riley Larsson,2022-12-17 22:54:00,fatima.okafor@examplecorp.test,Fatima Silva,2026-01-18 19:16:00,morgan.nguyen@demomail.test,Aisha Vance,2025-03-31 12:39:00,morgan.garcia@sampleco.test,Aisha Nguyen,2025-07-10 02:52:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,100001,100001,100001,100001,,100001,2024-02-10 15:50:00,5271,6650,Alpha,Alpha,Alpha,TAG-3785,6498,663,1063,4458,255,Delta,2025-10-30 11:37:00,4492,1207,Other,Other,Standard,Standard,9036,8573,4212,7789,3864,Standard,2026-05-23 12:58:00,,1969,Standard,,,LOT-5615,,,,,5854,Other,2024-05-19,,,,,,,,,,,,,2023-02-10,,,,,,,,,,,,,2023-05-19,,4482,,,,,,7745,,,,,2026-04-03,3958,7908,,,Standard,SKU-8688,,,,,,,2025-08-04,,,,,,,,,,,,,Reviewed performance and gathered feedback.
,REF-3642,Aisha Kim,Drew Ashby,,,LOT-9978,SKU-4546,SKU-2414,,TAG-4300,,,,,emerson.dorsey@examplecorp.test,,,,,LOT-4319,,,LOT-3712,,,Prospect,Discussed timeline and next steps with the account.,Copper Networks Ltd,Brightpath Partners LLP,Active,Beta,India,Delta,,,Aligned on billing and renewal terms.,SMB,,,,N,Manufacturing,,Delta,,,,Gamma,,,,,Event,SKU-6705,LOT-4419,Rahul Mercer,LOT-7001,SKU-5052,SKU-9451,,,,Gamma,,TAG-3629,TAG-5482,,Standard,,,Gamma,,Marco Reyes,,Arizona,Y,,SKU-4221,,,,,TAG-9495,SKU-6379,,100001,Company,100161,rahul.nguyen@examplecorp.test,Liam Ashby,2025-06-21 11:20:00,alex.calder@sampleco.test,Morgan Dorsey,2025-04-30 05:05:00,fatima.whitfield@acme-fake.test,Diego Sato,2026-02-03 16:34:00,jamie.haddad@acme-fake.test,,2023-01-12 02:39:00,Y,,100001,100001,100001,,,100001,100001,,100001,,100001,100001,100001,100001,,100001,2022-11-05 08:56:00,9378,5532,Other,Gamma,Gamma,LOT-1993,6977,9093,8313,1808,8214,Gamma,2023-04-26 15:56:00,7714,9223,Alpha,Delta,Beta,Gamma,2431,2432,1146,8332,7478,Delta,2024-03-18 20:54:00,,,,,Beta,,,,6010,,,,2023-10-24,,,,,,,,,,,3860,Delta,2023-10-22,,,,,,,,,8152,,,,2023-02-05,,,,,,,,,,,,,2022-12-06,,,,SKU-1692,,,,,5701,6681,,,2023-02-02,,,,,,,,,,,,,Noted a concern to revisit at the next sync.
,,Riley Whitfield,Casey Mercer,,,TAG-8792,,REF-8030,LOT-6382,,LOT-8928,,,,fatima.cohen@acme-fake.test,,,,SKU-6310,,,"150,090",LOT-7737,,,Active Customer,Discussed timeline and next steps with the account.,Vertex Financial,Pioneer Foods Inc,Inactive,Other,Canada,,,,Reviewed performance and gathered feedback.,SMB,,,,N,Healthcare,,,,,,,,,,,Website,,,Morgan Sato,REF-6532,TAG-6116,SKU-3398,9542,,,Delta,,TAG-7213,TAG-9607,,,,,,,Sofia Larsson,,Ohio,Y,,REF-1083,,,,,,TAG-3192,5369,100001,Company,100162,diego.mercer@acme-fake.test,Yara Rossi,2025-03-10 10:57:00,omar.mensah@examplecorp.test,Fatima Patel,2025-04-19 03:06:00,reese.cohen@acme-fake.test,Arjun Whitfield,2023-08-24 19:09:00,elena.ford@examplecorp.test,,2025-04-27 13:53:00,N,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,,100001,100001,,100001,2023-05-05 04:46:00,7364,6489,Gamma,Other,Gamma,TAG-9732,43,134,4176,5303,3358,Standard,2025-06-25 09:16:00,1846,9929,Delta,Standard,Standard,Alpha,6186,1901,9931,3229,9563,Other,2025-01-16 09:17:00,,,,,,,,6866,,,,,2023-11-16,,,,SKU-7201,,,4580,,,,7306,,2025-06-02,,,,,,,,,,,,,2023-07-17,,,,,,,,,,,,,2024-12-14,,,,,,,,,,,6511,Alpha,2023-09-06,,,,REF-1180,,TAG-6760,4491,,,,,,Discussed timeline and next steps with the account.
,,Jordan Patel,Emerson Nguyen,,,LOT-9721,,,,,,,TAG-2118,,rahul.reyes@examplecorp.test,,,,,,Alex Calder,,,"92,475",,Active Customer,Aligned on billing and renewal terms.,Pioneer Manufacturing Co,Cobalt Robotics Group,Inactive,Delta,Mexico,,,,Followed up on the open items from last week.,Enterprise,,,LOT-4290,Y,Retail,,,,,,,,,,,Webinar,,,Omar Garcia,TAG-7269,SKU-7565,,381,,,Alpha,,LOT-6798,LOT-3452,,,,,,,Quinn Okafor,,Illinois,Y,LOT-9263,TAG-2115,,,,,,REF-3544,3140,100001,Company,100165,yara.ford@examplecorp.test,Casey Reyes,2026-03-15 11:18:00,reese.haddad@acme-fake.test,Reese Whitfield,2024-05-03 23:09:00,mei.larsson@acme-fake.test,Jordan Mercer,2023-12-30 15:55:00,arjun.rossi@examplecorp.test,,2023-02-11 03:13:00,N,,100001,100001,100001,100001,100001,100001,100001,,100001,,,,100001,100001,100001,100001,2023-03-08 08:09:00,7238,6474,Beta,Standard,Gamma,LOT-6813,9232,7526,3793,9424,1615,Beta,2023-03-03 19:07:00,5899,6950,Standard,Other,Standard,Beta,882,4288,8514,6763,1539,Delta,2025-09-06 09:22:00,2654,,,,,,,5117,,2636,,,2024-03-03,,,,,Gamma,,,9271,,,,,2023-02-21,,,,,,,,,,,,,2022-11-14,5666,,,,Alpha,LOT-6774,,,,,,,2024-08-24,,,,,,,,,,,,,2024-10-30,,,,,,,6853,,,,,,Noted a concern to revisit at the next sync.
,SKU-1840,Jamie Calder,Avery Whitfield,,,SKU-5116,LOT-1937,SKU-5352,LOT-9624,TAG-7429,,REF-1617,SKU-3380,Other,morgan.silva@sampleco.test,,,,,,,,,"169,351",,Past Customer,Shared the updated proposal for review.,Brightpath Ventures,Lakeside Labs,Inactive,Gamma,United Kingdom,,TAG-2110,,Followed up on the open items from last week.,SMB,,,,N,Telecommunications,,,,,,,,,,,Inbound Call,REF-1440,REF-8503,Emerson Calder,,SKU-9202,REF-7745,,,,Alpha,,REF-4779,LOT-2503,,Delta,,,,,Taylor Rossi,,Georgia,Y,,SKU-1467,,,,,,REF-1387,2901,100001,Company,100168,omar.rossi@acme-fake.test,Emerson Mensah,2022-12-08 18:30:00,quinn.vance@acme-fake.test,Riley Blake,2024-12-31 20:30:00,rahul.kim@sampleco.test,Nina Costa,2024-09-07 16:52:00,alex.sloan@acme-fake.test,Morgan Ford,2023-03-14 20:29:00,N,100001,100001,100001,100001,,,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,2023-11-18 01:06:00,5675,242,Gamma,Delta,Standard,REF-1062,7599,6258,8120,2624,2090,Other,2025-05-04 00:55:00,6940,4102,Beta,Other,Delta,Other,3962,3465,2588,3245,7132,Gamma,2024-09-01 23:30:00,,,,LOT-1112,,,,,,,,,2023-02-21,,,,,Delta,,,,9902,,,,2026-06-27,,,,,,,,,,,,,2024-03-30,,,,,,,,,,,,,2025-10-22,,,,,,,,,,,,,2022-12-31,,,,,,,1555,,3429,,,,Reviewed performance and gathered feedback.
SKU-6421,,Riley Nguyen,Priya Sato,,,LOT-2772,REF-5251,SKU-4846,,,,,,,elena.mensah@acme-fake.test,Skyler Cohen,Omar Blake,,,TAG-8144,,,SKU-7625,,,Active Customer,Resolved the outstanding question about scope.,Evergreen Financial LLC,Redwood Systems Ltd,Active,Alpha,India,,,LOT-1814,Discussed timeline and next steps with the account.,New Logo,,LOT-1702,,N,Telecommunications,,Other,,,,,,,,,Event,REF-1237,,Rowan Okafor,LOT-4316,,SKU-9972,,,,Other,,TAG-6240,TAG-4533,,Beta,,,,,Aisha Okafor,,Colorado,N,,LOT-1395,,,,TAG-8371,,SKU-7848,7200,100001,Company,100169,fatima.cohen@demomail.test,Morgan Brooks,2022-10-16 09:09:00,sofia.ashby@acme-fake.test,Avery Mercer,2025-12-02 11:06:00,skyler.sato@acme-fake.test,Marco Patel,2025-02-13 01:27:00,aisha.sloan@examplecorp.test,,2023-07-29 04:25:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,,,100001,,100001,100001,,100001,2024-03-05 21:02:00,1245,567,Alpha,Other,Gamma,SKU-8114,8838,1526,9000,2577,5850,Delta,2026-05-09 21:33:00,2170,7104,Alpha,Beta,Alpha,Alpha,1020,6951,1146,1110,1943,Beta,2025-09-25 10:00:00,,,,,Alpha,,,,3595,7408,,Standard,2022-11-08,1914,,,SKU-7252,,,948,,6040,,,,2022-11-13,5620,,,,,,,,,,,,2024-10-17,,,,,,REF-1777,,,,,,,2024-10-06,,,,,,,,63,,,,,2025-03-22,,4550,,,,,,,,,,,Aligned on billing and renewal terms.
LOT-4404,,Rahul Dorsey,Skyler Mensah,,,LOT-2280,REF-7928,REF-1701,,,,,,,avery.costa@demomail.test,Diego Mensah,,,,REF-3127,,"45,921",LOT-8630,,,Active Customer,Aligned on billing and renewal terms.,Northwind Energy,Copper Manufacturing Co,Inactive,Beta,Australia,,,LOT-6769,Noted a concern to revisit at the next sync.,Renewal,,,,N,Retail,,,,,,,,,,,LinkedIn,SKU-1883,TAG-2378,Marco Rossi,REF-2335,REF-9220,SKU-6921,,,,Standard,,,,,Alpha,,,,,Drew Rossi,,Florida,N,,LOT-6790,,,,,,TAG-1821,4395,100001,Company,100172,drew.kim@acme-fake.test,Marco Ashby,2026-03-02 03:53:00,sofia.blake@examplecorp.test,Aisha Nguyen,2024-05-03 17:00:00,aisha.mensah@acme-fake.test,Riley Ford,2026-03-24 14:57:00,riley.patel@sampleco.test,Casey Garcia,2025-12-27 10:50:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,,,100001,,100001,100001,100001,100001,2024-02-23 04:32:00,3553,9888,Other,Other,Gamma,LOT-5349,4566,7214,4631,1406,5533,Other,2025-04-24 05:32:00,8528,1236,Other,Standard,Other,Gamma,4360,8210,5000,1201,1108,Delta,2025-01-23 02:57:00,,,,,,TAG-8784,,5193,,,,,2025-07-24,,,,REF-3243,Other,,,,,,,,2023-03-06,,,,,,,,,,,,,2023-06-23,,,,,,,,9697,,,,Beta,2025-03-30,,,,,,,,4751,4186,,,,2024-12-27,,,,,,,,,,,,,Scheduled a check-in for the coming month.
,,Avery Mensah,Rahul Blake,,,TAG-8537,LOT-4262,,REF-8451,TAG-2650,,,,,rahul.garcia@acme-fake.test,,,,,,,"205,400",REF-2137,,,Past Customer,Resolved the outstanding question about scope.,Blue Ridge Health Inc,Northwind Holdings Co,Active,,Philippines,,,,Followed up on the open items from last week.,Enterprise,,REF-1154,TAG-4973,N,Logistics,,,,,,,,Other,,,Inbound Call,REF-7248,LOT-6800,Fatima Mensah,LOT-4674,LOT-2795,,9854,,,Gamma,,SKU-1245,REF-3145,,Alpha,,,,,Casey Calder,,California,N,,LOT-1172,,,,,,TAG-5847,4530,100001,Company,100173,mei.whitfield@acme-fake.test,Rowan Costa,2023-09-23 21:56:00,avery.larsson@demomail.test,Chen Cohen,2023-04-17 02:12:00,chen.sloan@acme-fake.test,Omar Ashby,2024-09-14 14:12:00,noah.sato@examplecorp.test,Riley Larsson,2025-01-30 23:27:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,,100001,100001,,100001,100001,,100001,2024-09-23 12:21:00,5111,1261,Standard,Delta,Other,REF-2873,6606,218,4690,6362,9937,Beta,2023-02-19 18:50:00,9372,1952,Gamma,Beta,Other,Standard,5516,222,9995,6637,2986,Other,2024-02-02 04:04:00,,,Beta,,,,,9070,1520,,8262,,2024-11-19,,,,,,SKU-9717,,4764,9218,8678,,,2024-06-11,,,,TAG-3075,,,,,,,,,2024-03-23,,,,,,TAG-2169,,,,,,,2022-11-22,,,Delta,,,,,,,,,,2023-01-23,,,,,,,,,,,,,Shared the updated proposal for review.
,,Casey Patel,Yara Mensah,,,,REF-1606,LOT-5451,,,,LOT-5542,,,diego.blake@sampleco.test,,,,,,,,REF-7273,,,Prospect,Shared the updated proposal for review.,Delta Financial Corp,Cobalt Industries Inc,Inactive,Beta,United States,,,,Aligned on billing and renewal terms.,Enterprise,,,,,Logistics,,,,"125,656",,,,,,,Website,TAG-5301,LOT-7641,Sofia Ford,TAG-1726,SKU-3133,SKU-3843,4017,,,Other,,REF-9485,REF-9535,,Other,,,,,Noah Ivanov,,Ohio,N,TAG-5847,LOT-1936,,,,,,SKU-5495,2671,100001,Company,100174,emerson.cohen@sampleco.test,Fatima Patel,2023-05-09 04:23:00,chen.reyes@sampleco.test,Chen Reyes,2024-09-02 20:09:00,arjun.patel@demomail.test,Rahul Whitfield,2025-03-19 15:43:00,yara.mensah@demomail.test,,2024-07-31 14:44:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,2023-05-09 06:56:00,8269,7060,Gamma,Standard,Gamma,LOT-3586,5264,8199,9030,1153,1202,Standard,2023-02-28 03:18:00,3944,8084,Standard,Beta,Standard,Beta,8446,6930,1188,9884,3876,Alpha,2023-04-19 17:20:00,,,,,,,,,,,,,2023-07-09,,,Gamma,,Delta,SKU-6288,,,,,,,2025-04-25,,,Delta,,,,,5615,,,,,2026-01-20,,,,,,,,,,,,,2023-07-10,,2805,,,,,1647,,,,4719,,2026-06-05,,,,,,,,2147,,,,,Noted a concern to revisit at the next sync.
,,Casey Ashby,Jamie Ivanov,,,TAG-7054,,,LOT-7610,LOT-1934,,,,,mei.nguyen@demomail.test,,,,,,,,REF-1492,,,Active Customer,Shared the updated proposal for review.,Pioneer Solutions,Vertex Energy LLC,Active,Standard,Philippines,Delta,,,Followed up on the open items from last week.,SMB,,,,Y,Technology,,,,,,,,,,,Inbound Call,,,Chen Vance,LOT-6568,,,,,,Standard,,LOT-9443,TAG-6712,,Gamma,,,,,Aisha Nguyen,,Georgia,Y,LOT-3960,SKU-8834,,,,,LOT-9281,SKU-9776,5708,100001,Company,100177,morgan.ford@demomail.test,Sofia Patel,2025-10-26 10:59:00,jordan.ivanov@examplecorp.test,Skyler Ford,2025-12-24 22:54:00,jamie.blake@sampleco.test,Avery Ashby,2024-04-03 20:43:00,liam.mensah@demomail.test,,2025-12-28 14:40:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,100001,100001,100001,100001,100001,2025-09-25 23:27:00,4088,9041,Gamma,Delta,Standard,LOT-6082,9714,8007,3430,585,436,Standard,2025-03-18 19:47:00,9338,3085,Gamma,Gamma,Other,Other,564,9817,153,2143,2424,Beta,2025-05-08 00:19:00,,,,,,,,,6772,,,Delta,2026-05-22,,,,,Beta,,,,,,,,2024-12-10,,,,,,,,,,,,,2024-09-11,,8707,,,,,,,,,6777,,2025-09-13,5918,,,,Other,LOT-8817,,,,,,,2025-02-24,,,,,,,,,,4243,280,,Reviewed performance and gathered feedback.
